Job ID,Job Title,Location,Key Skills,Job Salary,Apply Link,Description
JOB-2020,MLOps Engineer,Chennai,"Git, SQL, Langchain, AWS, Deep Learning",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Chennai. Must be proficient in Git and SQL.
JOB-2021,Prompt Engineer,Kochi,"Python, OpenAI, Langchain, Prompt Engineering, Git, TensorFlow",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Prompt%20Engineer&location=India,Seeking a skilled Prompt Engineer based in Kochi. Must be proficient in Python and OpenAI.
JOB-2022,Prompt Engineer,Remote,"Python, OpenAI, Langchain, Prompt Engineering, SQL, Kubernetes",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Prompt%20Engineer&location=India,Seeking a skilled Prompt Engineer based in Remote. Must be proficient in Python and OpenAI.
JOB-2023,Python Developer,Chennai,"Power BI, Git, SQL, NLP",Competitive,https://www.linkedin.com/jobs/search/?keywords=Python%20Developer&location=India,Seeking a skilled Python Developer based in Chennai. Must be proficient in Power BI and Git.
JOB-2024,NLP Specialist,Pune,"AWS, Deep Learning, Kubernetes, Langchain, RAG, Vector Databases, TensorFlow",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Pune. Must be proficient in AWS and Deep Learning.
JOB-2025,AI Product Manager,Chennai,"OpenAI, Deep Learning, PyTorch, React, Vector Databases",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Chennai. Must be proficient in OpenAI and Deep Learning.
JOB-2026,AI Product Manager,Bengaluru,"RAG, NLP, Power BI, OpenAI, SQL, Docker",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Bengaluru. Must be proficient in RAG and NLP.
JOB-2027,Generative AI Developer,Delhi NCR,"Python, OpenAI, Langchain, Prompt Engineering, Streamlit, Django",Competitive,https://www.linkedin.com/jobs/search/?keywords=Generative%20AI%20Developer&location=India,Seeking a skilled Generative AI Developer based in Delhi NCR. Must be proficient in Python and OpenAI.
JOB-2028,Prompt Engineer,Delhi NCR,"Python, OpenAI, Langchain, Prompt Engineering, Django",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Prompt%20Engineer&location=India,Seeking a skilled Prompt Engineer based in Delhi NCR. Must be proficient in Python and OpenAI.
JOB-2029,AI Product Manager,Pune,"SQL, Vector Databases, AWS, Power BI",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Pune. Must be proficient in SQL and Vector Databases.
JOB-2030,AI Product Manager,Mumbai,"Node.Js, NLP, Langchain, Vector Databases, Python",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Mumbai. Must be proficient in Node.Js and NLP.
JOB-2031,Data Scientist,Chennai,"SQL, Langchain, PyTorch, Python, NLP, TensorFlow, Streamlit",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=India,Seeking a skilled Data Scientist based in Chennai. Must be proficient in SQL and Langchain.
JOB-2032,Generative AI Developer,Kochi,"Python, OpenAI, Langchain, Prompt Engineering, Deep Learning, Kubernetes, Docker",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Generative%20AI%20Developer&location=India,Seeking a skilled Generative AI Developer based in Kochi. Must be proficient in Python and OpenAI.
JOB-2033,MLOps Engineer,Remote,"NLP, OpenAI, Python, AWS, React, RAG",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Remote. Must be proficient in NLP and OpenAI.
JOB-2034,Cloud Architect,Chandigarh,"RAG, React, Deep Learning, PyTorch",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Chandigarh. Must be proficient in RAG and React.
JOB-2035,Generative AI Developer,Kochi,"Python, OpenAI, Langchain, Prompt Engineering, React",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Generative%20AI%20Developer&location=India,Seeking a skilled Generative AI Developer based in Kochi. Must be proficient in Python and OpenAI.
JOB-2036,MLOps Engineer,Bengaluru,"PyTorch, RAG, Docker, Kubernetes",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Bengaluru. Must be proficient in PyTorch and RAG.
JOB-2037,NLP Specialist,Bengaluru,"Prompt Engineering, Power BI, Deep Learning, NLP, Kubernetes, Django",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Bengaluru. Must be proficient in Prompt Engineering and Power BI.
JOB-2038,AI Solutions Architect,Chennai,"Django, AWS, Node.Js, Streamlit, Vector Databases, Machine Learning, Deep Learning",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Solutions%20Architect&location=India,Seeking a skilled AI Solutions Architect based in Chennai. Must be proficient in Django and AWS.
JOB-2039,Generative AI Developer,Chennai,"Python, OpenAI, Langchain, Prompt Engineering, Power BI, Vector Databases, PyTorch",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Generative%20AI%20Developer&location=India,Seeking a skilled Generative AI Developer based in Chennai. Must be proficient in Python and OpenAI.
JOB-2040,Machine Learning Engineer,Gurgaon,"Vector Databases, AWS, Docker, NLP, Python, OpenAI, SQL",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Gurgaon. Must be proficient in Vector Databases and AWS.
JOB-2041,Python Developer,Chennai,"OpenAI, NLP, SQL, Django, PyTorch, Streamlit",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Python%20Developer&location=India,Seeking a skilled Python Developer based in Chennai. Must be proficient in OpenAI and NLP.
JOB-2042,Backend Engineer,Delhi NCR,"Git, TensorFlow, React, Kubernetes, NLP, Docker",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Delhi NCR. Must be proficient in Git and TensorFlow.
JOB-2043,NLP Specialist,Chennai,"RAG, Docker, NLP, AWS, Machine Learning, Langchain, Django",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Chennai. Must be proficient in RAG and Docker.
JOB-2044,Data Analyst,Chennai,"Kubernetes, React, Python, Langchain, OpenAI",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Chennai. Must be proficient in Kubernetes and React.
JOB-2045,Data Scientist,Remote,"RAG, NLP, PyTorch, Docker, SQL, OpenAI, Langchain",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=India,Seeking a skilled Data Scientist based in Remote. Must be proficient in RAG and NLP.
JOB-2046,NLP Specialist,Chennai,"Kubernetes, AWS, NLP, Docker, Langchain, Django",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Chennai. Must be proficient in Kubernetes and AWS.
JOB-2047,NLP Specialist,Remote,"React, Power BI, Node.Js, Streamlit, AWS",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Remote. Must be proficient in React and Power BI.
JOB-2048,Cloud Architect,Chandigarh,"React, Streamlit, Prompt Engineering, AWS, Power BI",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Chandigarh. Must be proficient in React and Streamlit.
JOB-2049,Machine Learning Engineer,Hyderabad,"Node.Js, NLP, Machine Learning, Git",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Hyderabad. Must be proficient in Node.Js and NLP.
JOB-2050,Cloud Architect,Mumbai,"Git, NLP, Langchain, Prompt Engineering, Node.Js, React",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Mumbai. Must be proficient in Git and NLP.
JOB-2051,Cloud Architect,Chandigarh,"Machine Learning, Prompt Engineering, Python, Deep Learning",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Chandigarh. Must be proficient in Machine Learning and Prompt Engineering.
JOB-2052,Machine Learning Engineer,Delhi NCR,"Prompt Engineering, NLP, Streamlit, Python, Git, RAG, Langchain",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Delhi NCR. Must be proficient in Prompt Engineering and NLP.
JOB-2053,Prompt Engineer,Pune,"Python, OpenAI, Langchain, Prompt Engineering, SQL",Competitive,https://www.linkedin.com/jobs/search/?keywords=Prompt%20Engineer&location=India,Seeking a skilled Prompt Engineer based in Pune. Must be proficient in Python and OpenAI.
JOB-2054,Data Scientist,Bengaluru,"Kubernetes, Django, OpenAI, React, SQL, RAG, AWS",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=India,Seeking a skilled Data Scientist based in Bengaluru. Must be proficient in Kubernetes and Django.
JOB-2055,Data Scientist,Chandigarh,"Machine Learning, Git, React, Deep Learning, Streamlit",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=India,Seeking a skilled Data Scientist based in Chandigarh. Must be proficient in Machine Learning and Git.
JOB-2056,Backend Engineer,Bengaluru,"Machine Learning, PyTorch, Git, Streamlit, Deep Learning, Langchain",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Bengaluru. Must be proficient in Machine Learning and PyTorch.
JOB-2057,Python Developer,Mumbai,"Vector Databases, Docker, Deep Learning, Python, RAG",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Python%20Developer&location=India,Seeking a skilled Python Developer based in Mumbai. Must be proficient in Vector Databases and Docker.
JOB-2058,Machine Learning Engineer,Pune,"AWS, Docker, Kubernetes, Node.Js, NLP, PyTorch",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Pune. Must be proficient in AWS and Docker.
JOB-2059,AI Product Manager,Chennai,"Vector Databases, React, NLP, Langchain, Python, PyTorch, Node.Js",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Chennai. Must be proficient in Vector Databases and React.
JOB-2060,Backend Engineer,Pune,"Kubernetes, React, SQL, RAG",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Pune. Must be proficient in Kubernetes and React.
JOB-2061,Cloud Architect,Chandigarh,"Git, SQL, RAG, PyTorch",Competitive,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Chandigarh. Must be proficient in Git and SQL.
JOB-2062,MLOps Engineer,Chennai,"Prompt Engineering, Deep Learning, AWS, Django, Streamlit, Python, Power BI",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Chennai. Must be proficient in Prompt Engineering and Deep Learning.
JOB-2063,NLP Specialist,Chandigarh,"Langchain, RAG, Prompt Engineering, Machine Learning, Kubernetes",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Chandigarh. Must be proficient in Langchain and RAG.
JOB-2064,Backend Engineer,Pune,"NLP, Streamlit, Deep Learning, Python, Node.Js",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Pune. Must be proficient in NLP and Streamlit.
JOB-2065,Backend Engineer,Chennai,"TensorFlow, Kubernetes, AWS, Power BI, Deep Learning, Docker",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Chennai. Must be proficient in TensorFlow and Kubernetes.
JOB-2066,Machine Learning Engineer,Delhi NCR,"Power BI, Streamlit, Deep Learning, Langchain",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Delhi NCR. Must be proficient in Power BI and Streamlit.
JOB-2067,Data Scientist,Chennai,"Prompt Engineering, SQL, Django, Vector Databases, Deep Learning, Python",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=India,Seeking a skilled Data Scientist based in Chennai. Must be proficient in Prompt Engineering and SQL.
JOB-2068,Data Analyst,Chandigarh,"Git, React, Vector Databases, OpenAI, Langchain, SQL, Kubernetes",Competitive,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Chandigarh. Must be proficient in Git and React.
JOB-2069,NLP Specialist,Chennai,"React, TensorFlow, PyTorch, Langchain, Docker",Competitive,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Chennai. Must be proficient in React and TensorFlow.
JOB-2070,Generative AI Developer,Bengaluru,"Python, OpenAI, Langchain, Prompt Engineering, Git, AWS",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Generative%20AI%20Developer&location=India,Seeking a skilled Generative AI Developer based in Bengaluru. Must be proficient in Python and OpenAI.
JOB-2071,MLOps Engineer,Delhi NCR,"Docker, RAG, Power BI, Django",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=MLOps%20Engineer&location=India,Seeking a skilled MLOps Engineer based in Delhi NCR. Must be proficient in Docker and RAG.
JOB-2072,Backend Engineer,Pune,"Node.Js, OpenAI, Deep Learning, NLP, Kubernetes, Power BI",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Pune. Must be proficient in Node.Js and OpenAI.
JOB-2073,Machine Learning Engineer,Kochi,"NLP, SQL, Git, Streamlit, TensorFlow, Machine Learning, Python",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Kochi. Must be proficient in NLP and SQL.
JOB-2074,Machine Learning Engineer,Chandigarh,"SQL, AWS, Machine Learning, Prompt Engineering, Git, Streamlit",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Chandigarh. Must be proficient in SQL and AWS.
JOB-2075,AI Solutions Architect,Remote,"TensorFlow, NLP, Machine Learning, Django, OpenAI, Deep Learning, Streamlit",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Solutions%20Architect&location=India,Seeking a skilled AI Solutions Architect based in Remote. Must be proficient in TensorFlow and NLP.
JOB-2076,Backend Engineer,Chennai,"SQL, Streamlit, OpenAI, Deep Learning, Machine Learning, AWS, TensorFlow",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Chennai. Must be proficient in SQL and Streamlit.
JOB-2077,Cloud Architect,Hyderabad,"AWS, PyTorch, Node.Js, Git",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Hyderabad. Must be proficient in AWS and PyTorch.
JOB-2078,AI Solutions Architect,Bengaluru,"Streamlit, AWS, Deep Learning, Node.Js, Langchain",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Solutions%20Architect&location=India,Seeking a skilled AI Solutions Architect based in Bengaluru. Must be proficient in Streamlit and AWS.
JOB-2079,Data Analyst,Hyderabad,"Deep Learning, Kubernetes, Django, Python",30+ LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Hyderabad. Must be proficient in Deep Learning and Kubernetes.
JOB-2080,Cloud Architect,Mumbai,"Vector Databases, Git, Kubernetes, NLP",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Mumbai. Must be proficient in Vector Databases and Git.
JOB-2081,Data Analyst,Gurgaon,"Kubernetes, Streamlit, RAG, OpenAI",Competitive,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Gurgaon. Must be proficient in Kubernetes and Streamlit.
JOB-2082,AI Product Manager,Chandigarh,"RAG, Node.Js, Docker, Deep Learning, Vector Databases, React",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=AI%20Product%20Manager&location=India,Seeking a skilled AI Product Manager based in Chandigarh. Must be proficient in RAG and Node.Js.
JOB-2083,Data Scientist,Bengaluru,"AWS, Python, React, Kubernetes",Competitive,https://www.linkedin.com/jobs/search/?keywords=Data%20Scientist&location=India,Seeking a skilled Data Scientist based in Bengaluru. Must be proficient in AWS and Python.
JOB-2084,Data Analyst,Delhi NCR,"Streamlit, SQL, Vector Databases, Prompt Engineering",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Delhi NCR. Must be proficient in Streamlit and SQL.
JOB-2085,Data Analyst,Kochi,"Deep Learning, Docker, Git, React, Prompt Engineering",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Kochi. Must be proficient in Deep Learning and Docker.
JOB-2086,NLP Specialist,Mumbai,"SQL, OpenAI, Streamlit, Langchain, Prompt Engineering",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=NLP%20Specialist&location=India,Seeking a skilled NLP Specialist based in Mumbai. Must be proficient in SQL and OpenAI.
JOB-2087,Data Analyst,Chandigarh,"React, Django, Streamlit, PyTorch, Python",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Chandigarh. Must be proficient in React and Django.
JOB-2088,Backend Engineer,Bengaluru,"PyTorch, Kubernetes, Prompt Engineering, Docker, TensorFlow, OpenAI",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Bengaluru. Must be proficient in PyTorch and Kubernetes.
JOB-2089,Prompt Engineer,Remote,"Python, OpenAI, Langchain, Prompt Engineering, Docker, Node.Js",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=Prompt%20Engineer&location=India,Seeking a skilled Prompt Engineer based in Remote. Must be proficient in Python and OpenAI.
JOB-2090,AI Solutions Architect,Bengaluru,"RAG, Git, Power BI, TensorFlow",Competitive,https://www.linkedin.com/jobs/search/?keywords=AI%20Solutions%20Architect&location=India,Seeking a skilled AI Solutions Architect based in Bengaluru. Must be proficient in RAG and Git.
JOB-2091,AI Solutions Architect,Hyderabad,"NLP, Machine Learning, Streamlit, Django, Langchain, RAG, Deep Learning",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Solutions%20Architect&location=India,Seeking a skilled AI Solutions Architect based in Hyderabad. Must be proficient in NLP and Machine Learning.
JOB-2092,Data Analyst,Chandigarh,"Kubernetes, NLP, Git, Docker, Deep Learning, Power BI, AWS",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Chandigarh. Must be proficient in Kubernetes and NLP.
JOB-2093,Prompt Engineer,Hyderabad,"Python, OpenAI, Langchain, Prompt Engineering, Node.Js, NLP, RAG",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Prompt%20Engineer&location=India,Seeking a skilled Prompt Engineer based in Hyderabad. Must be proficient in Python and OpenAI.
JOB-2094,Cloud Architect,Bengaluru,"OpenAI, RAG, Langchain, Prompt Engineering, NLP, PyTorch",Competitive,https://www.linkedin.com/jobs/search/?keywords=Cloud%20Architect&location=India,Seeking a skilled Cloud Architect based in Bengaluru. Must be proficient in OpenAI and RAG.
JOB-2095,AI Solutions Architect,Chennai,"Docker, Langchain, Prompt Engineering, Power BI, SQL",15-25 LPA,https://www.linkedin.com/jobs/search/?keywords=AI%20Solutions%20Architect&location=India,Seeking a skilled AI Solutions Architect based in Chennai. Must be proficient in Docker and Langchain.
JOB-2096,Machine Learning Engineer,Kochi,"Git, Machine Learning, Node.Js, TensorFlow, Vector Databases, Prompt Engineering, Django",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Kochi. Must be proficient in Git and Machine Learning.
JOB-2097,Machine Learning Engineer,Kochi,"Vector Databases, Django, PyTorch, Prompt Engineering",20-35 LPA,https://www.linkedin.com/jobs/search/?keywords=Machine%20Learning%20Engineer&location=India,Seeking a skilled Machine Learning Engineer based in Kochi. Must be proficient in Vector Databases and Django.
JOB-2098,Backend Engineer,Bengaluru,"Docker, Langchain, Kubernetes, AWS, Python, Git, Prompt Engineering",Not Disclosed by Recruiter,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer&location=India,Seeking a skilled Backend Engineer based in Bengaluru. Must be proficient in Docker and Langchain.
JOB-2099,Generative AI Developer,Pune,"Python, OpenAI, Langchain, Prompt Engineering, TensorFlow, Power BI",8-12 LPA,https://www.linkedin.com/jobs/search/?keywords=Generative%20AI%20Developer&location=India,Seeking a skilled Generative AI Developer based in Pune. Must be proficient in Python and OpenAI.
JOB-2100,Data Analyst,Remote,"Langchain, Deep Learning, Node.Js, Django",10-15 LPA,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst&location=India,Seeking a skilled Data Analyst based in Remote. Must be proficient in Langchain and Deep Learning.
