role,growth_rate,avg_salary_lpa,job_openings,skill,skill_score
Mobile App Developer,23,16,5100,Kotlin,91
Mobile App Developer,23,16,5100,Swift,90
Mobile App Developer,23,16,5100,React Native,92
Mobile App Developer,23,16,5100,Firebase,87
Mobile App Developer,23,16,5100,REST APIs,88
Flutter Developer,28,15,4300,Dart,95
Flutter Developer,28,15,4300,Flutter,97
Flutter Developer,28,15,4300,Firebase,88
Flutter Developer,28,15,4300,REST APIs,86
Flutter Developer,28,15,4300,State Management,84
Cyber Security Analyst,33,16,5700,Network Security,93
Cyber Security Analyst,33,16,5700,SIEM,91
Cyber Security Analyst,33,16,5700,Threat Analysis,94
Cyber Security Analyst,33,16,5700,Python,87
Cyber Security Analyst,33,16,5700,CompTIA Security+,90
SOC Analyst,30,14,4900,SIEM,95
SOC Analyst,30,14,4900,Incident Response,93
SOC Analyst,30,14,4900,Threat Intelligence,91
SOC Analyst,30,14,4900,Log Analysis,89
SOC Analyst,30,14,4900,Splunk,90
Penetration Tester,36,18,3200,Kali Linux,95
Penetration Tester,36,18,3200,Metasploit,93
Penetration Tester,36,18,3200,OWASP,94
Penetration Tester,36,18,3200,Python,88
Penetration Tester,36,18,3200,Burp Suite,92
Blockchain Developer,38,22,2200,Solidity,95
Blockchain Developer,38,22,2200,Ethereum,93
Blockchain Developer,38,22,2200,Smart Contracts,94
Blockchain Developer,38,22,2200,Web3.js,90
Blockchain Developer,38,22,2200,Rust,87
Data Engineer,32,20,5800,Python,94
Data Engineer,32,20,5800,Apache Spark,93
Data Engineer,32,20,5800,SQL,91
Data Engineer,32,20,5800,Apache Kafka,90
Data Engineer,32,20,5800,Airflow,88
Business Intelligence Analyst,21,14,4600,Power BI,95
Business Intelligence Analyst,21,14,4600,SQL,93
Business Intelligence Analyst,21,14,4600,Tableau,91
Business Intelligence Analyst,21,14,4600,DAX,88
Business Intelligence Analyst,21,14,4600,Data Warehousing,86
Software Engineer,20,16,14800,Data Structures,92
Software Engineer,20,16,14800,System Design,94
Software Engineer,20,16,14800,Java,91
Software Engineer,20,16,14800,Python,93
Software Engineer,20,16,14800,Git,88
Solutions Architect,29,30,2400,AWS,95
Solutions Architect,29,30,2400,System Design,96
Solutions Architect,29,30,2400,Microservices,93
Solutions Architect,29,30,2400,Security Best Practices,91
Solutions Architect,29,30,2400,Cloud Networking,90
Platform Engineer,31,22,2100,Kubernetes,95
Platform Engineer,31,22,2100,Terraform,93
Platform Engineer,31,22,2100,Go,91
Platform Engineer,31,22,2100,CI/CD,92
Platform Engineer,31,22,2100,Observability,89
QA Automation Engineer,22,13,5300,Selenium,92
QA Automation Engineer,22,13,5300,Python,90
QA Automation Engineer,22,13,5300,Cypress,91
QA Automation Engineer,22,13,5300,TestNG,87
QA Automation Engineer,22,13,5300,JIRA,84
Computer Vision Engineer,40,24,2700,Python,95
Computer Vision Engineer,40,24,2700,OpenCV,94
Computer Vision Engineer,40,24,2700,PyTorch,93
Computer Vision Engineer,40,24,2700,YOLO,91
Computer Vision Engineer,40,24,2700,Deep Learning,96
NLP Engineer,38,23,2900,Python,95
NLP Engineer,38,23,2900,Hugging Face,96
NLP Engineer,38,23,2900,BERT,93
NLP Engineer,38,23,2900,SpaCy,90
NLP Engineer,38,23,2900,LLMs,94
